NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
268,942,tt0217505,Gangs of New York,2002,116,crime,3,,
269,941,tt0119177,Gattaca,1997,23,sci-fi,2,,
270,2389,tt0099653,Ghost,1990,448,sci-fi,3,,
271,2396,tt0288477,Ghost Ship,2002,45,horror,1,,
272,2399,tt0162346,Ghost World,2001,9,comedy,3,,
273,2405,tt0097428,Ghostbusters II,1989,245,comedy,1,,
274,2408,tt0172495,Gladiator,2000,303,action,3,,
275,2412,tt0104348,Glengarry Glen Ross,1992,22,drama,3,,
276,2413,tt0139239,Go,1999,28,comedy,2,,
277,2419,tt0120684,Gods and Monsters,1998,11,drama,3,,
278,2427,tt0119217,Good Will Hunting,1997,261,drama,2,,
279,4292,tt0099685,Goodfellas,1990,96,drama,3,,
282,2440,tt0338075,Grand Theft Parsons,2003,NA,action,0,,
283,2445,tt1454468,Gravity,2013,293,sci-fi,3,,
284,974,tt0119229,Grosse Pointe Blank,1997,53,comedy,1,,
285,975,tt0107048,Groundhog Day,1993,148,comedy,3,,
286,2462,tt0113243,Hackers,1995,15,drama,0,,
287,4311,tt0373883,Halloween,2007,73,horror,1,,
288,4315,tt0095271,Halloween 4: The Return of Michael Myers,1988,37,horror,1,,
289,4317,tt0120694,Halloween H20: 20 Years Later,1998,102,horror,2,,
290,978,tt0113253,Halloween: The Curse of Michael Myers,1995,30,horror,1,stinkers,
291,2472,tt0091167,Hannah and Her Sisters,1986,94,comedy,3,,
292,983,tt0067180,Happy Birthday Wanda June,1971,NA,drama,0,,
294,985,tt0120696,Hard Rain,1998,36,action,0,,
295,986,tt0099739,Hard to Kill,1990,97,action,0,,
296,4333,tt0079271,Hardcore,1979,NA,drama,1,,
297,988,tt0366551,Harold & Kumar Go to White Castle,2004,25,comedy,2,,
298,4337,tt0067185,Harold and Maude,1971,NA,drama,3,,
299,2498,tt1001508,He's Just Not That Into You,2009,109,comedy,1,,
300,996,tt0113277,Heat,1995,134,action,1,,
301,4345,tt0097493,Heathers,1988,2,comedy,1,,
302,2505,tt0110005,Heavenly Creatures,1994,6,drama,3,,
303,1001,tt0252503,Heist,2001,NA,action,0,,
304,2519,tt0093177,Hellraiser,1987,32,horror,1,,
305,1006,tt0104409,Hellraiser III: Hell on Earth,1992,26,horror,1,,
306,2529,tt0274546,Hellraiser: Hellseeker,2002,NA,horror,1,,
307,1010,tt0122529,Henry Fool,1997,2,drama,1,,
308,2534,tt1220888,Henry's Crime,2010,NA,crime,0,,
309,4354,tt0104412,Hero,1992,40,drama,0,,
310,2535,tt1403177,Hesher,2010,NA,drama,1,,
311,2536,tt0146882,High Fidelity,2000,44,comedy,3,,
312,2540,tt0091203,Highlander,1986,13,sci-fi,0,,
314,2548,tt0164052,Hollow Man,2000,118,horror,2,,
315,2550,tt0829193,Honeydripper,2007,NA,drama,1,,
316,4369,tt0093209,Hope and Glory,1987,22,drama,3,,
317,2551,tt1499658,Horrible Bosses,2011,129,comedy,1,,
318,1016,tt0340163,Hostage,2005,46,action,1,,
319,1019,tt0395169,Hotel Rwanda,2004,32,drama,3,,
320,1018,tt0251736,House of 1000 Corpses,2003,18,horror,1,,
321,4377,tt0116573,House of the Damned,1996,NA,horror,0,,
322,4378,tt0185371,House on Haunted Hill,1999,69,horror,1,,
324,2576,tt0219822,Human Nature,2001,1,comedy,1,,
325,4392,tt0480249,I Am Legend,2007,323,sci-fi,1,,
326,2580,tt0277027,I Am Sam,2001,61,drama,3,,
327,2582,tt1045772,I Love You Phillip Morris,2009,2,comedy,1,,
328,2585,tt0130018,I Still Know What You Did Last Summer,1998,74,horror,1,,
330,2587,tt0110097,I'll Do Anything,1994,21,comedy,1,,
331,4399,tt0387808,Idiocracy,2006,0,comedy,1,,
332,2596,tt0247425,In the Bedroom,2001,55,drama,3,,
333,2597,tt1226774,In the Loop,2009,2,comedy,3,,
334,2598,tt1375666,Inception,2010,323,sci-fi,3,,
335,1030,tt0116629,Independence Day,1996,602,sci-fi,2,,
336,2604,tt0097576,Indiana Jones and the Last Crusade,1989,431,action,3,,
337,1036,tt0087469,Indiana Jones and the Temple of Doom,1984,466,action,2,,
338,2618,tt1591095,Insidious,2010,59,horror,1,,
339,2619,tt0278504,Insomnia,2002,100,drama,1,,
340,2622,tt0110148,Interview with the Vampire: The Vampire Chronicles,1994,218,drama,3,,
341,2625,tt0758758,Into the Wild,2007,23,drama,3,,
342,1041,tt0138524,Intolerable Cruelty,2003,50,comedy,1,,
